pair_id,img1,img2,num_keypoints1,num_keypoints2,num_matches,avg_match_distance,min_match_distance,max_match_distance,quality_score
1,WhatsApp Image 2025-11-13 at 14.35.58 (1).jpeg,WhatsApp Image 2025-11-13 at 14.35.58.jpeg,3230,2796,297,144.99749238242205,48.010414123535156,315.572509765625,2.03428151506908
2,WhatsApp Image 2025-11-13 at 14.35.58.jpeg,WhatsApp Image 2025-11-13 at 14.35.59 (1).jpeg,2796,4018,158,155.87170666078978,58.26662826538086,291.1700439453125,1.0071924591325443
3,WhatsApp Image 2025-11-13 at 14.35.59 (1).jpeg,WhatsApp Image 2025-11-13 at 14.35.59.jpeg,4018,4032,803,110.36462860297443,29.257476806640625,319.2131042480469,7.210547999605619
4,WhatsApp Image 2025-11-13 at 14.35.59.jpeg,WhatsApp Image 2025-11-13 at 14.36.00 (1).jpeg,4032,4185,1258,99.37613596256662,27.184555053710938,279.1558837890625,12.532859408626242
5,WhatsApp Image 2025-11-13 at 14.36.00 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.00.jpeg,4185,3635,481,125.7566455357288,48.908077239990234,317.30426025390625,3.794672839180025
6,WhatsApp Image 2025-11-13 at 14.36.00.jpeg,WhatsApp Image 2025-11-13 at 14.36.01 (1).jpeg,3635,3812,282,140.21965695103856,35.916568756103516,289.8930969238281,1.9968891448148085
7,WhatsApp Image 2025-11-13 at 14.36.01 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.01 (2).jpeg,3812,4059,847,121.03072690907447,33.42155075073242,282.2498779296875,6.9408748227084045
8,WhatsApp Image 2025-11-13 at 14.36.01 (2).jpeg,WhatsApp Image 2025-11-13 at 14.36.01.jpeg,4059,4252,277,147.11252336467646,60.50619888305664,291.6178894042969,1.8701997218559445
9,WhatsApp Image 2025-11-13 at 14.36.01.jpeg,WhatsApp Image 2025-11-13 at 14.36.02 (1).jpeg,4252,3402,125,171.4863125,48.02082824707031,289.1435546875,0.7246951841468581
10,WhatsApp Image 2025-11-13 at 14.36.02 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.02 (2).jpeg,3402,3062,615,142.06717944261504,45.221675872802734,292.3217468261719,4.298679839750944
11,WhatsApp Image 2025-11-13 at 14.36.02 (2).jpeg,WhatsApp Image 2025-11-13 at 14.36.02.jpeg,3062,3084,107,158.9437414151486,64.66838836669922,293.4944763183594,0.6689852260131375
12,WhatsApp Image 2025-11-13 at 14.36.02.jpeg,WhatsApp Image 2025-11-13 at 14.36.03 (1).jpeg,3084,5767,35,164.91928591047014,55.865909576416016,250.09597778320312,0.21094594162420613
13,WhatsApp Image 2025-11-13 at 14.36.03 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.03 (2).jpeg,5767,5556,1361,115.9527240111318,33.61547088623047,277.883056640625,11.63718084813875
14,WhatsApp Image 2025-11-13 at 14.36.03 (2).jpeg,WhatsApp Image 2025-11-13 at 14.36.03.jpeg,5556,6468,234,153.15921276451175,37.656341552734375,293.37860107421875,1.5179112282925982
15,WhatsApp Image 2025-11-13 at 14.36.03.jpeg,WhatsApp Image 2025-11-13 at 14.36.04 (1).jpeg,6468,3388,118,176.46273483664302,44.59820556640625,306.72625732421875,0.6649283304949666
16,WhatsApp Image 2025-11-13 at 14.36.04 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.04.jpeg,3388,5185,493,136.00837532647,28.49561309814453,313.8040771484375,3.598320167108444
17,WhatsApp Image 2025-11-13 at 14.36.04.jpeg,WhatsApp Image 2025-11-13 at 14.36.05 (1).jpeg,5185,4823,179,157.99804199474485,35.580894470214844,284.62432861328125,1.1258000271847137
18,WhatsApp Image 2025-11-13 at 14.36.05 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.05 (2).jpeg,4823,5143,558,127.22977615684592,38.10511779785156,269.7257995605469,4.351563394429349
19,WhatsApp Image 2025-11-13 at 14.36.05 (2).jpeg,WhatsApp Image 2025-11-13 at 14.36.05.jpeg,5143,4089,345,139.42968232528023,48.60041046142578,314.340576171875,2.4567455703621777
20,WhatsApp Image 2025-11-13 at 14.36.05.jpeg,WhatsApp Image 2025-11-13 at 14.36.06 (1).jpeg,4089,1569,73,193.78108769246975,67.00746154785156,315.4568176269531,0.37477971226475587
21,WhatsApp Image 2025-11-13 at 14.36.06 (1).jpeg,WhatsApp Image 2025-11-13 at 14.36.06.jpeg,1569,3244,75,135.21964248657227,60.63827133178711,303.8437194824219,0.5505813892250749
